rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
161,"spotify:track:3fjmSxt0PskST13CSdBUFx","Linkin Park","Somewhere I Belong","Warner Records",67,-1,67,"319035"
162,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",1,119,663,"318710"
163,"spotify:track:05gychGDaYtqT3sWQhZydb","Baby Keem, Che Ecru","Dramatic Girl (feat. Che Ecru)","pgLang/Columbia",64,174,4,"317180"
164,"spotify:track:5EcG8eMMlwkHRVa4aTR1qd","Rihanna","Breakin' Dishes","Def Jam Recordings",41,128,263,"317023"
165,"spotify:track:2LMkwUfqC6S6s6qDVlEuzV","Frank Ocean","White Ferrari","Boys Don't Cry",51,-1,349,"315375"
166,"spotify:track:2GHKo6nrSjruvBEQbzD7Fw","Don Toliver","Tiramisu","CactusJack/Donnway/ATL",12,176,40,"315372"
167,"spotify:track:6ZOBP3NvffbU4SZcrnt1k6","3 Doors Down","Kryptonite","Universal Records",43,-1,18,"314967"
168,"spotify:track:736PP5LTtREkDgktNmX3Gu","Daniel Caesar","Superpowers","Republic Records",73,164,172,"314905"
169,"spotify:track:1HbzxLqpNVPdiBXvpC7Ovb","The Red Clay Strays","Wondering Why","Red Clay Strays",70,181,688,"314727"
170,"spotify:track:3AJwUDP919kvQ9QcozQPxg","Coldplay","Yellow","Parlophone UK",50,179,536,"314708"
171,"spotify:track:0JXXNGljqupsJaZsgSbMZV","Miguel","Sure Thing","Jive",8,163,949,"311056"
172,"spotify:track:1zM8S2pnIclcdTmrfFnWtX","Hudson Westbrook","House Again","River House Artists/Warner Records Nashville",53,186,304,"310953"
173,"spotify:track:2M38X60UJnupGPbFTkVPNQ","Brooks & Dunn","Neon Moon","Arista Nashville",69,151,163,"310783"
174,"spotify:track:77qLAmRzMPetmXywybpH15","Charli xcx","Chains of Love","Atlantic Records",31,194,10,"310200"
175,"spotify:track:3hxIUxnT27p5WcmjGUXNwx","Hotel Ugly","Shut up My Moms Calling","Hotel Ugly, under exclusive license to Amuseio AB",22,182,981,"309684"
176,"spotify:track:2XHzzp1j4IfTNp1FTn7YFg","Lil Wayne, Drake, Future","Love Me","CM/Republic",68,165,660,"308229"
177,"spotify:track:7IM4xK4W4n06UAV48ZXMup","Lana Del Rey","White Feather Hawk Tail Deer Hunter","Polydor Records",47,143,6,"308199"
178,"spotify:track:3cPoiK69oQ1SdbB2j2ulGm","Olivia Dean","The Hardest Part","PLG - Capitol",83,-1,51,"308152"
179,"spotify:track:0YsIYFRoxkmEvbKCwTp0Tg","Morgan Wallen","20 Cigarettes","Big Loud Records / Mercury Records / Republic Records",12,191,194,"306497"
180,"spotify:track:3dYD57lRAUcMHufyqn9GcI","Hozier","Take Me to Church","Columbia",53,-1,748,"306358"
181,"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Steve Lacy","Bad Habit","L-M Records/RCA Records",1,177,976,"306151"
182,"spotify:track:2LawezPeJhN4AWuSB0GtAU","Creedence Clearwater Revival","Have You Ever Seen The Rain","Craft Recordings",77,183,285,"306133"
183,"spotify:track:5vPUv0xziXbV4lnWeVNXNq","Malcolm Todd","Roommates","Columbia",174,-1,17,"306127"
184,"spotify:track:2HbKqm4o0w5wEeEFXm2sD4","Kendrick Lamar, Jay Rock","Money Trees","Aftermath",17,171,1633,"306023"
185,"spotify:track:3azJifCSqg9fRij2yKIbWz","Tory Lanez","The Color Violet","One Umbrella Records",23,188,1072,"305733"
186,"spotify:track:2uvE4L5ZsYKpv8hbK4TIOt","Leon Thomas","MUTT","EZMNY Records/Motown Records",31,173,302,"305422"
187,"spotify:track:1oAwsWBovWRIp7qLMGPIet","Cigarettes After Sex","Apocalypse","Partisan Records",42,-1,1010,"304824"
188,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",1,152,487,"304471"
189,"spotify:track:3Vd4fHzwS6pBS3muymjiDi","Olivia Dean","Let Alone The One You Love","PLG - Capitol",52,-1,126,"304065"
190,"spotify:track:6tHVEMyRfxGgQuXRzl2yOF","Olivia Dean","I've Seen It","PLG - Capitol",71,-1,53,"302746"
191,"spotify:track:4L8wCqX7DmID3UJ64w8Mrw","Megan Moroney","Stupid","Columbia Nashville/Columbia Records",60,-1,3,"302170"
192,"spotify:track:4MjDJD8cW7iVeWInc2Bdyj","Bad Bunny","MONACO","Rimas Entertainment LLC",1,144,142,"299030"
193,"spotify:track:3oTuTpF1F3A7rEC6RKsMRz","Dave, Tems","Raindance (feat. Tems)","Neighbourhood",140,200,7,"298995"
194,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",9,169,1075,"298802"
195,"spotify:track:2TktkzfozZifbQhXjT6I33","Omar Apollo","Evergreen (You Didn’t Deserve Me At All)","Warner Records",8,-1,152,"297842"
196,"spotify:track:3Q4gttWQ6hxqWOa3tHoTNi","Drake, Chris Brown","Not You Too (feat. Chris Brown)","OVO",8,-1,80,"297294"
197,"spotify:track:0M955bMOoilikPXwKLYpoi","Three Days Grace","I Hate Everything About You","Jive",103,-1,198,"296991"
198,"spotify:track:5AEOqLsRJFAoSS4ay4Jzao","Nirvana","Come As You Are","Geffen",119,-1,245,"295978"
199,"spotify:track:2YiCMmONQcoMPX2bV1LxE0","Tears For Fears","Everybody Wants To Rule The World","UMC (Universal Music Catalogue)",25,180,970,"294864"
200,"spotify:track:5OUtx1HW0cLbt1bCuSHlw8","Baby Keem","Highway 95 pt.2","pgLang/Columbia",50,189,4,"294641"
