date,actual_change_bp,predicted,surprise
2011-09-21,0,-1.7857142857146926,-1.7857142857146926
2011-08-09,0,-1.5992063492118826,-1.5992063492118826
2011-06-22,0,1.36363636363706,1.36363636363706
2011-04-27,0,1.1111111111116776,1.1111111111116776
2011-03-15,0,-0.5166666666662025,-0.5166666666662025
2011-01-26,0,2.7755575615628906e-15,2.7755575615628906e-15
2010-12-14,0,-0.21291208791250002,-0.21291208791250002
2010-11-03,0,7.120714285718067,7.120714285718067
2010-09-21,0,0.35714285714252747,0.35714285714252747
2010-08-10,0,-0.88704285714688,-0.88704285714688
2010-06-23,0,2.607391304346895,2.607391304346895
2010-04-28,0,1.6071428571429174,1.6071428571429174
2010-03-16,0,3.1138392857140125,3.1138392857140125
2010-01-27,0,2.2951481481489577,2.2951481481489577
2009-12-16,0,3.982638888887202,3.982638888887202
