0,1,2,3
2025-04-21 20:28:20.415206+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:20.415620+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:20.576040+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:20.576418+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:20.576770+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:20.595990+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:20.596397+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:20.614773+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:20.675824+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:20.676209+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:20.676537+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:20.676835+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:20.677216+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:20.677525+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:23.375677+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:23.376112+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:23.376462+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:23.376766+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:23.396091+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:23.396446+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:23.414478+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:23.474135+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:23.474488+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:23.474817+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:23.475115+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:23.475409+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:23.475760+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:23.476060+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:23.534644+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:24.456017+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:24.634950+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:24.955862+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:25.254238+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.495277+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.495706+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.496065+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.515123+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.515485+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.535381+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.535746+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.553898+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.613544+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.613912+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.614245+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.614624+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.614927+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.635857+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.636254+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.654967+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:30.694167+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.274233+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.274655+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.294681+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.295068+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.295506+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.313427+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.313807+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.334110+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.395189+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.416407+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.416792+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.417159+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.417517+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.417813+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.418110+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.418405+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:32.454312+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:37.553789+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:37.574769+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:37.575224+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:37.595274+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:37.595642+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:37.596018+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:37.614551+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:37.678033+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:37.678402+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:37.678710+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:37.679014+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:37.679314+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:37.679617+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:39.313933+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:39.314348+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:39.334978+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:39.335350+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:39.335700+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:39.336018+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:39.355335+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:39.414870+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:39.415240+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:39.415599+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:39.415935+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:39.416242+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:39.416544+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:39.416854+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:39.453871+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:41.055764+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:41.056160+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:41.056568+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:41.056878+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:41.074998+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:41.075369+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:41.094877+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:41.114735+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:41.154466+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:41.154834+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:41.155166+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:41.155471+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:41.174888+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:41.175256+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:41.175617+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:42.776649+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:42.795421+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:42.814234+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:42.894308+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.215025+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.215445+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.215826+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.216172+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.274778+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.515137+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.515506+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.515879+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.516228+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.535060+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.535413+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.554851+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.555219+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.555569+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.573849+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.574221+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.614707+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.615085+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.615436+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.615760+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.616060+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.616360+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:44.655611+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:45.714236+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:45.714644+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:45.735851+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:45.736219+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:45.774555+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:45.774924+00:00,KXBTC-25APR2117-B87250,81,78
2025-04-21 20:28:45.955020+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:46.175016+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:46.254045+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:46.274921+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:46.313519+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:46.354866+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:46.835350+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:47.135499+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:47.154860+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:47.155266+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:47.155569+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:47.195202+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:47.195559+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:47.214327+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:47.374154+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:47.555002+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:48.174481+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:48.415052+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:48.997121+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:49.014386+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:49.014756+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:49.394405+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:49.773804+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:49.774176+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:49.774488+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:49.813994+00:00,KXBTC-25APR2117-B87250,81,77
